ambulance_id,station_id,station_name,base_lat,base_lon,level,has_12lead_ecg,has_ventilator,active
A001,S01,北城消防分隊,25.056792,121.517704,EMT-2,1,0,1
A002,S01,北城消防分隊,25.053058,121.522604,EMT-P,1,0,1
A003,S01,北城消防分隊,25.050591,121.524117,EMT-2,0,1,1
A004,S02,河東消防分隊,25.0281,121.567048,EMT-2,1,1,1
A005,S02,河東消防分隊,25.033917,121.572631,EMT-P,0,0,1
A006,S03,南港消防分隊,25.007727,121.547798,EMT-P,1,0,1
A007,S03,南港消防分隊,25.014496,121.545861,EMT-P,1,0,1
A008,S04,西區消防分隊,25.053178,121.498237,EMT-P,1,1,1
A009,S04,西區消防分隊,25.053012,121.495762,EMT-P,0,0,1
A010,S05,桃園消防分隊,24.971123,121.226095,EMT-2,0,0,1
A011,S05,桃園消防分隊,24.96701,121.234932,EMT-P,0,1,1
A012,S05,桃園消防分隊,24.967472,121.230529,EMT-P,1,0,1
