clinician_id,hospital_id,specialty,clinician_name,seniority_years,can_lead_code_team,active
C0001,H001,急診,北區急診01,8,1,1
C0002,H001,急診,北區急診02,10,1,1
C0003,H001,急診,北區急診03,20,1,1
C0004,H001,心臟內科,北區心臟內科01,19,0,1
C0005,H001,心臟內科,北區心臟內科02,2,1,1
C0006,H001,心臟內科,北區心臟內科03,11,1,1
C0007,H001,神經內科,北區神經內科01,2,1,1
C0008,H001,神經內科,北區神經內科02,9,1,1
C0009,H001,神經內科,北區神經內科03,7,1,1
C0010,H001,外傷外科,北區外傷外科01,5,1,1
C0011,H001,外傷外科,北區外傷外科02,15,1,1
C0012,H001,外傷外科,北區外傷外科03,14,1,1
C0013,H001,加護醫學,北區加護醫學01,7,1,1
C0014,H001,加護醫學,北區加護醫學02,17,1,1
C0015,H001,加護醫學,北區加護醫學03,4,1,1
C0016,H001,放射科,北區放射科01,5,0,1
C0017,H001,放射科,北區放射科02,11,0,1
C0018,H001,放射科,北區放射科03,5,0,1
C0019,H001,護理組長,北區護理組長01,6,0,1
C0020,H001,護理組長,北區護理組長02,17,0,1
C0021,H001,護理組長,北區護理組長03,17,0,1
C0022,H002,急診,東區急診01,16,0,1
C0023,H002,急診,東區急診02,17,1,1
C0024,H002,心臟內科,東區心臟內科01,19,0,1
C0025,H002,心臟內科,東區心臟內科02,15,1,1
C0026,H002,神經內科,東區神經內科01,13,0,1
C0027,H002,神經內科,東區神經內科02,2,1,1
C0028,H002,外傷外科,東區外傷外科01,6,1,1
C0029,H002,外傷外科,東區外傷外科02,8,1,1
C0030,H002,加護醫學,東區加護醫學01,19,1,1
C0031,H002,加護醫學,東區加護醫學02,20,0,1
C0032,H002,放射科,東區放射科01,14,0,1
C0033,H002,放射科,東區放射科02,18,0,1
C0034,H002,護理組長,東區護理組長01,19,0,1
C0035,H002,護理組長,東區護理組長02,13,0,1
C0036,H003,急診,南區急診01,11,1,1
C0037,H003,急診,南區急診02,6,1,1
C0038,H003,心臟內科,南區心臟內科01,18,1,1
C0039,H003,心臟內科,南區心臟內科02,13,1,1
C0040,H003,神經內科,南區神經內科01,11,0,1
C0041,H003,神經內科,南區神經內科02,12,0,1
C0042,H003,外傷外科,南區外傷外科01,8,1,1
C0043,H003,外傷外科,南區外傷外科02,7,1,1
C0044,H003,加護醫學,南區加護醫學01,10,1,1
C0045,H003,加護醫學,南區加護醫學02,4,0,1
C0046,H003,放射科,南區放射科01,15,0,1
C0047,H003,放射科,南區放射科02,6,0,1
C0048,H003,護理組長,南區護理組長01,13,0,1
C0049,H003,護理組長,南區護理組長02,17,0,1
C0050,H004,急診,西區急診01,16,1,1
C0051,H004,急診,西區急診02,10,1,1
C0052,H004,心臟內科,西區心臟內科01,10,1,1
C0053,H004,心臟內科,西區心臟內科02,11,1,1
C0054,H004,神經內科,西區神經內科01,13,1,1
C0055,H004,神經內科,西區神經內科02,9,1,1
C0056,H004,外傷外科,西區外傷外科01,16,1,1
C0057,H004,外傷外科,西區外傷外科02,14,0,1
C0058,H004,加護醫學,西區加護醫學01,4,0,1
C0059,H004,加護醫學,西區加護醫學02,8,0,1
C0060,H004,放射科,西區放射科01,11,0,1
C0061,H004,放射科,西區放射科02,17,0,1
C0062,H004,護理組長,西區護理組長01,13,0,1
C0063,H004,護理組長,西區護理組長02,11,0,1
C0064,H005,急診,桃園區急診01,18,0,1
C0065,H005,急診,桃園區急診02,8,1,1
C0066,H005,急診,桃園區急診03,17,0,1
C0067,H005,心臟內科,桃園區心臟內科01,10,0,1
C0068,H005,心臟內科,桃園區心臟內科02,16,1,1
C0069,H005,心臟內科,桃園區心臟內科03,7,1,1
C0070,H005,神經內科,桃園區神經內科01,4,1,1
C0071,H005,神經內科,桃園區神經內科02,18,0,1
C0072,H005,神經內科,桃園區神經內科03,6,0,1
C0073,H005,外傷外科,桃園區外傷外科01,6,0,1
C0074,H005,外傷外科,桃園區外傷外科02,2,0,1
C0075,H005,外傷外科,桃園區外傷外科03,19,1,1
C0076,H005,加護醫學,桃園區加護醫學01,19,1,1
C0077,H005,加護醫學,桃園區加護醫學02,13,0,1
C0078,H005,加護醫學,桃園區加護醫學03,11,0,1
C0079,H005,放射科,桃園區放射科01,18,0,1
C0080,H005,放射科,桃園區放射科02,12,0,1
C0081,H005,放射科,桃園區放射科03,7,0,1
C0082,H005,護理組長,桃園區護理組長01,14,0,1
C0083,H005,護理組長,桃園區護理組長02,8,0,1
C0084,H005,護理組長,桃園區護理組長03,7,0,1
