snapshot_id,hospital_id,snapshot_time,ed_beds_available,icu_beds_available,ct_available,cath_lab_available,trauma_bays_available,ventilators_available,isolation_beds_available,blood_o_units_available,nurse_team_available,crowding_index
RS0000001,H001,2025/11/1 00:00,15,6,1,1,2,0,6,19,1,0.628
RS0000002,H002,2025/11/1 00:00,0,11,1,1,1,1,1,20,1,0.911
RS0000003,H003,2025/11/1 00:00,2,1,1,0,0,2,3,6,1,1
RS0000004,H004,2025/11/1 00:00,4,2,1,0,0,0,3,10,1,0.739
RS0000005,H005,2025/11/1 00:00,15,2,1,1,1,4,3,15,1,0.701
RS0000006,H001,2025/11/1 04:00,10,3,1,1,3,7,2,25,1,0.665
RS0000007,H002,2025/11/1 04:00,14,0,1,1,1,1,5,22,1,0.48
RS0000008,H003,2025/11/1 04:00,3,1,1,0,1,0,3,20,1,0.968
RS0000009,H004,2025/11/1 04:00,2,0,1,0,0,0,5,15,1,0.803
RS0000010,H005,2025/11/1 04:00,11,5,1,1,2,7,6,14,1,0.701
RS0000011,H001,2025/11/1 08:00,15,5,1,1,0,6,4,13,1,0.782
RS0000012,H002,2025/11/1 08:00,9,1,1,1,2,7,7,12,1,0.603
RS0000013,H003,2025/11/1 08:00,14,5,1,0,1,5,3,15,1,0.393
RS0000014,H004,2025/11/1 08:00,5,6,1,0,1,2,7,13,1,0.589
RS0000015,H005,2025/11/1 08:00,11,0,1,1,1,2,4,10,1,0.728
RS0000016,H001,2025/11/1 12:00,6,7,1,1,2,3,6,15,1,0.871
RS0000017,H002,2025/11/1 12:00,3,8,1,1,0,3,2,15,1,0.966
RS0000018,H003,2025/11/1 12:00,3,0,1,0,0,2,2,14,1,0.883
RS0000019,H004,2025/11/1 12:00,11,4,1,0,0,0,2,15,1,0.266
RS0000020,H005,2025/11/1 12:00,8,0,0,1,0,2,5,11,1,0.761
RS0000021,H001,2025/11/1 16:00,8,5,1,1,1,4,3,5,1,0.804
RS0000022,H002,2025/11/1 16:00,0,4,1,1,0,0,2,8,1,0.97
RS0000023,H003,2025/11/1 16:00,2,7,1,0,1,2,2,20,1,1
RS0000024,H004,2025/11/1 16:00,0,2,1,0,0,0,0,18,1,0.959
RS0000025,H005,2025/11/1 16:00,7,5,1,1,0,5,5,5,1,0.843
RS0000026,H001,2025/11/1 20:00,7,3,1,1,0,8,3,9,1,0.769
RS0000027,H002,2025/11/1 20:00,6,0,1,1,0,3,7,19,1,0.831
RS0000028,H003,2025/11/1 20:00,5,1,1,0,0,2,1,14,1,0.847
RS0000029,H004,2025/11/1 20:00,0,2,1,0,0,0,1,26,1,0.953
RS0000030,H005,2025/11/1 20:00,6,1,1,1,0,5,1,11,1,0.877
RS0000031,H001,2025/11/2 00:00,14,4,1,1,0,4,5,15,1,0.578
RS0000032,H002,2025/11/2 00:00,7,12,1,0,1,2,7,13,1,0.667
RS0000033,H003,2025/11/2 00:00,4,0,1,0,1,0,3,16,1,0.904
