shift_id,hospital_id,specialty,clinician_id,shift_label,shift_start,shift_end,on_call
SH000001,H001,急診,C0001,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000002,H001,急診,C0003,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000003,H001,急診,C0001,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000004,H001,心臟內科,C0004,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000005,H001,心臟內科,C0005,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000006,H001,心臟內科,C0005,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000007,H001,神經內科,C0007,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000008,H001,神經內科,C0007,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000009,H001,神經內科,C0008,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000010,H001,外傷外科,C0012,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000011,H001,外傷外科,C0010,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000012,H001,外傷外科,C0012,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000013,H001,加護醫學,C0013,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000014,H001,加護醫學,C0013,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000015,H001,加護醫學,C0013,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000016,H001,放射科,C0017,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000017,H001,放射科,C0016,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000018,H001,放射科,C0017,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000019,H001,護理組長,C0021,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000020,H001,護理組長,C0020,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000021,H001,護理組長,C0019,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000022,H002,急診,C0022,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000023,H002,急診,C0023,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000024,H002,急診,C0023,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000025,H002,心臟內科,C0024,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000026,H002,心臟內科,C0024,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000027,H002,心臟內科,C0024,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000028,H002,神經內科,C0026,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000029,H002,神經內科,C0027,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000030,H002,神經內科,C0027,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000031,H002,外傷外科,C0028,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000032,H002,外傷外科,C0029,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000033,H002,外傷外科,C0029,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000034,H002,加護醫學,C0030,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000035,H002,加護醫學,C0031,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000036,H002,加護醫學,C0031,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000037,H002,放射科,C0032,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000038,H002,放射科,C0032,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000039,H002,放射科,C0033,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000040,H002,護理組長,C0034,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000041,H002,護理組長,C0034,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000042,H002,護理組長,C0035,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000043,H003,急診,C0037,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000044,H003,急診,C0037,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000045,H003,急診,C0036,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000046,H003,心臟內科,C0038,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000047,H003,心臟內科,C0039,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000048,H003,心臟內科,C0038,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000049,H003,神經內科,C0041,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000050,H003,神經內科,C0041,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000051,H003,神經內科,C0041,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000052,H003,外傷外科,C0043,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000053,H003,外傷外科,C0042,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000054,H003,外傷外科,C0042,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000055,H003,加護醫學,C0045,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000056,H003,加護醫學,C0045,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000057,H003,加護醫學,C0045,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000058,H003,放射科,C0046,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000059,H003,放射科,C0046,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000060,H003,放射科,C0046,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000061,H003,護理組長,C0048,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000062,H003,護理組長,C0049,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000063,H003,護理組長,C0048,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000064,H004,急診,C0051,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000065,H004,急診,C0051,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000066,H004,急診,C0050,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000067,H004,心臟內科,C0053,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000068,H004,心臟內科,C0052,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000069,H004,心臟內科,C0052,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000070,H004,神經內科,C0055,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000071,H004,神經內科,C0055,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000072,H004,神經內科,C0055,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000073,H004,外傷外科,C0057,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000074,H004,外傷外科,C0057,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000075,H004,外傷外科,C0056,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000076,H004,加護醫學,C0058,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000077,H004,加護醫學,C0059,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000078,H004,加護醫學,C0058,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000079,H004,放射科,C0060,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000080,H004,放射科,C0060,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000081,H004,放射科,C0061,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000082,H004,護理組長,C0063,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000083,H004,護理組長,C0062,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000084,H004,護理組長,C0063,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000085,H005,急診,C0066,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000086,H005,急診,C0066,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000087,H005,急診,C0064,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000088,H005,心臟內科,C0068,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000089,H005,心臟內科,C0067,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000090,H005,心臟內科,C0069,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000091,H005,神經內科,C0070,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000092,H005,神經內科,C0072,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000093,H005,神經內科,C0072,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000094,H005,外傷外科,C0073,夜班,2025/11/1 00:00,2025/11/1 08:00,1
SH000095,H005,外傷外科,C0074,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000096,H005,外傷外科,C0075,小夜班,2025/11/1 16:00,2025/11/2 00:00,1
SH000097,H005,加護醫學,C0076,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000098,H005,加護醫學,C0078,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000099,H005,加護醫學,C0077,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000100,H005,放射科,C0080,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000101,H005,放射科,C0080,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000102,H005,放射科,C0080,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
SH000103,H005,護理組長,C0083,夜班,2025/11/1 00:00,2025/11/1 08:00,0
SH000104,H005,護理組長,C0082,日班,2025/11/1 08:00,2025/11/1 16:00,0
SH000105,H005,護理組長,C0084,小夜班,2025/11/1 16:00,2025/11/2 00:00,0
