table_name,table_zh_name,column_name,column_zh_name,description,data_type_in_csv,nullable_rate,key_role,example_values
alerts,急救通報紀錄,alert_id,通報代碼,急救通報唯一識別碼。,object,0,PK,AL0000001、AL0000002、AL0000003、AL0000004、AL0000005
alerts,急救通報紀錄,case_id,案件代碼,對應 ems_cases.case_id。,object,0,FK -> ems_cases.case_id,E0000001、E0000002、E0000003、E0000004、E0000005
alerts,急救通報紀錄,hospital_id,收報醫院代碼,對應 hospitals.hospital_id。,object,0,FK -> hospitals.hospital_id,H001、H003、H002、H005、H004
alerts,急救通報紀錄,activation_type,啟動流程類型,通報要啟動的院內流程。,object,0,,Sepsis Bundle / 敗血症一小時包、OHCA Team / 急救復甦團隊、Trauma Team / 外傷團隊啟動、Code Stroke / 中風團隊預啟動、Code STEMI / 導管室預啟動
alerts,急救通報紀錄,priority,通報優先級,P1 或 P2。,object,0,,P1、P2
alerts,急救通報紀錄,status,通報狀態,例如 closed，表示流程已關閉。,object,0,,closed
alerts,急救通報紀錄,channel,通報通道,例如 App、Dashboard、SMS。,object,0,,App+Dashboard+SMS、App+Dashboard
alerts,急救通報紀錄,alert_created_time,通報建立時間,通報送出的時間。,object,0,,2025-11-01 00:56:20、2025-11-01 17:58:40、2025-11-01 08:34:42、2025-11-01 17:47:10、2025-11-01 08:02:39
alerts,急救通報紀錄,first_ack_time,第一次 ACK 時間,醫院端第一次確認收到的時間。,object,0,,2025-11-01 01:01:20、2025-11-01 18:03:40、2025-11-01 08:39:42、2025-11-01 17:50:10、2025-11-01 08:05:39
alerts,急救通報紀錄,closed_time,通報關閉時間,案件通報流程結束時間。,object,0,,2025-11-01 02:30:20、2025-11-01 19:34:40、2025-11-01 09:53:42、2025-11-01 18:49:10、2025-11-01 08:52:39
alerts,急救通報紀錄,ack_minutes,ACK 所需分鐘數,first_ack_time - alert_created_time。,float64,0,,5.0、3.0、4.0、2.0、6.0
alerts,急救通報紀錄,message_summary,通報摘要,給院內端看的簡短文字摘要。,object,0,,P1 敗血症/敗血性休克，ETA約23分鐘，請預備Sepsis Bundle / 敗血症一小時包、P1 到院前心跳停止，ETA約35分鐘，請預備OHCA Team / 急救復甦團隊、P2 重大外傷，ETA約31分鐘，請預備Trauma Team / 外傷團隊啟動、P2 疑似急性腦中風，ETA約26分鐘，請預備Code Stroke / 中風團隊預啟動、P1 重大外傷，ETA約25分鐘，請預備Trauma Team / 外傷團隊啟動
ambulances,救護車主檔,ambulance_id,救護車代碼,救護車唯一識別碼。,object,0,PK; 被 ems_cases.ambulance_id 參照,A001、A002、A003、A004、A005
ambulances,救護車主檔,station_id,消防 / 救護分隊代碼,救護車所屬分隊代碼。,object,0,,S01、S02、S03、S04、S05
ambulances,救護車主檔,station_name,分隊名稱,救護車所屬分隊名稱。,object,0,,北城消防分隊、河東消防分隊、南港消防分隊、西區消防分隊、桃園消防分隊
ambulances,救護車主檔,base_lat,基地緯度,分隊或救護車基地位置緯度。,float64,0,,25.056792、25.053058、25.050591、25.0281、25.033917
ambulances,救護車主檔,base_lon,基地經度,分隊或救護車基地位置經度。,float64,0,,121.517704、121.522604、121.524117、121.567048、121.572631
ambulances,救護車主檔,level,救護等級,例如 EMT-2、EMT-P；可用於判斷車上處置能力。,object,0,,EMT-2、EMT-P
ambulances,救護車主檔,has_12lead_ecg,是否有 12 導程心電圖,1 表示車上可做 12 導程 ECG，對 STEMI 到院前辨識很重要。,int64,0,,1、0
ambulances,救護車主檔,has_ventilator,是否有車上呼吸器,1 表示救護車具備呼吸器設備。,int64,0,,0、1
ambulances,救護車主檔,active,是否啟用,1 表示目前可派遣或可用。,int64,0,,1
clinicians,院內人員主檔,clinician_id,人員代碼,院內人員唯一識別碼。,object,0,PK; 被 physician_shifts.clinician_id 參照,C0001、C0002、C0003、C0004、C0005
clinicians,院內人員主檔,hospital_id,所屬醫院代碼,對應 hospitals.hospital_id。,object,0,FK -> hospitals.hospital_id,H001、H002、H003、H004、H005
clinicians,院內人員主檔,specialty,專科 / 角色,例如急診、心臟內科、神經內科、外傷外科、加護醫學、放射科、護理組長。,object,0,,急診、心臟內科、神經內科、外傷外科、加護醫學
clinicians,院內人員主檔,clinician_name,人員名稱,合成姓名，用於 Demo 顯示。,object,0,,北區急診01、北區急診02、北區急診03、北區心臟內科01、北區心臟內科02
clinicians,院內人員主檔,seniority_years,年資,模擬人員年資。,int64,0,,8、10、20、19、2
clinicians,院內人員主檔,can_lead_code_team,是否可帶領急救團隊,1 表示可作為 Code STEMI、Code Stroke、Trauma Team 等團隊負責人。,int64,0,,1、0
clinicians,院內人員主檔,active,是否在職 / 可用,1 表示仍可被排班與通知。,int64,0,,1
ems_cases,救護案件主檔,case_id,案件代碼,救護案件唯一識別碼，也是串接其他案件資料的主鍵。,object,0,PK; 被 alerts.case_id 參照; 被 routing_recommendations.case_id 參照; 被 prehospital_vitals.case_id 參照; 被 resource_orders.case_id 參照; 被 treatment_events.case_id 參照; 被 outcomes.case_id 參照,E0000001、E0000002、E0000003、E0000004、E0000005
ems_cases,救護案件主檔,patient_id,病患代碼,對應 patients.patient_id。,object,0,FK -> patients.patient_id,P000001、P000002、P000003、P000004、P000005
ems_cases,救護案件主檔,ambulance_id,救護車代碼,對應 ambulances.ambulance_id。,object,0,FK -> ambulances.ambulance_id,A008、A004、A007、A012、A003
ems_cases,救護案件主檔,suspected_condition,疑似病症,五類急重症：STEMI、疑似急性腦中風、敗血症/敗血性休克、重大外傷、到院前心跳停止。,object,0,,敗血症/敗血性休克、到院前心跳停止、重大外傷、疑似急性腦中風、STEMI
ems_cases,救護案件主檔,activation_type,啟動流程類型,例如 Code STEMI、Code Stroke、Sepsis Bundle、Trauma Team、OHCA Team。,object,0,,Sepsis Bundle / 敗血症一小時包、OHCA Team / 急救復甦團隊、Trauma Team / 外傷團隊啟動、Code Stroke / 中風團隊預啟動、Code STEMI / 導管室預啟動
ems_cases,救護案件主檔,esi_level,急診嚴重度分級,模擬 ESI level，1 最嚴重，2 次之。,int64,0,,1、2
ems_cases,救護案件主檔,priority,通報優先級,P1 或 P2，P1 表示需立即處理。,object,0,,P1、P2
ems_cases,救護案件主檔,scene_lat,現場緯度,救護現場位置緯度。,float64,0,,25.082741、25.002202、25.005418、25.049697、24.999018
ems_cases,救護案件主檔,scene_lon,現場經度,救護現場位置經度。,float64,0,,121.513134、121.59174、121.573732、121.55263、121.538069
ems_cases,救護案件主檔,dispatch_time,派遣時間,救護車被派遣的時間。,object,0,,2025-11-01 00:39:20、2025-11-01 17:46:40、2025-11-01 08:23:42、2025-11-01 17:32:10、2025-11-01 07:50:39
ems_cases,救護案件主檔,patient_contact_time,接觸病患時間,救護人員第一次接觸病患的時間。,object,0,,2025-11-01 00:51:20、2025-11-01 17:53:40、2025-11-01 08:33:42、2025-11-01 17:44:10、2025-11-01 07:59:39
ems_cases,救護案件主檔,depart_scene_time,離開現場時間,救護車載病患離開現場時間。,object,0,,2025-11-01 01:03:20、2025-11-01 18:11:40、2025-11-01 08:44:42、2025-11-01 18:01:10、2025-11-01 08:19:39
ems_cases,救護案件主檔,alert_created_time,通報建立時間,救護車端或系統送出急救通報的時間。,object,0,,2025-11-01 00:56:20、2025-11-01 17:58:40、2025-11-01 08:34:42、2025-11-01 17:47:10、2025-11-01 08:02:39
ems_cases,救護案件主檔,eta_time,預估到院時間,系統估算的到院時間。,object,0,,2025-11-01 01:17:20、2025-11-01 18:31:40、2025-11-01 09:04:42、2025-11-01 18:09:10、2025-11-01 08:30:39
ems_cases,救護案件主檔,receiving_hospital_id,收治醫院代碼,實際選擇或送往的醫院，對應 hospitals.hospital_id。,object,0,FK -> hospitals.hospital_id,H001、H003、H002、H005、H004
ems_cases,救護案件主檔,arrival_hospital_time,到院時間,救護車抵達收治醫院的時間。,object,0,,2025-11-01 01:19:20、2025-11-01 18:33:40、2025-11-01 09:05:42、2025-11-01 18:13:10、2025-11-01 08:27:39
ems_cases,救護案件主檔,onset_to_contact_min,發病到接觸時間,從發病或最後正常時間到 EMT 接觸病患的分鐘數；OHCA 可能為空。,float64,0.159,,193.0、190.0、271.0、197.0、81.0
ems_cases,救護案件主檔,chief_complaint,主訴,救護車端摘要，例如胸痛、單側無力、發燒血壓低等。,object,0,,發燒、意識變差、血壓偏低、無意識、無呼吸或無脈搏、穿刺傷後疑似重大外傷、單側無力、口齒不清或意識改變、機械傷害後疑似重大外傷
ems_cases,救護案件主檔,initial_sbp,初始收縮壓,第一筆生命徵象的收縮壓，單位 mmHg。,int64,0,,112、0、159、116、148
